=== FFI (Foreign Function & Memory API) Hits ===
Format: callerSig | lib | symbol | mechanism | jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_set_verify(java.lang.foreign.MemorySegment,int,java.lang.foreign.MemorySegment)> | ssl | SSL_set_verify | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long ERR_get_error()> | ssl | ERR_get_error | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment DH_new()> | ssl | DH_new | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void EC_KEY_free(java.lang.foreign.MemorySegment)> | ssl | EC_KEY_free | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void X509_STORE_CTX_set_error(java.lang.foreign.MemorySegment,int)> | ssl | X509_STORE_CTX_set_error | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_CTX_use_PrivateKey(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_use_PrivateKey | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long SSL_CTX_ctrl(java.lang.foreign.MemorySegment,int,long,java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_ctrl | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment OCSP_resp_get0_certs(java.lang.foreign.MemorySegment)> | ssl | OCSP_resp_get0_certs | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_free(java.lang.foreign.MemorySegment)> | ssl | SSL_free | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_CTX_set_cert_verify_callback(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_set_cert_verify_callback | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void ERR_clear_error()> | ssl | ERR_clear_error | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment X509_LOOKUP_file()> | ssl | X509_LOOKUP_file | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int ASN1_STRING_length(java.lang.foreign.MemorySegment)> | ssl | ASN1_STRING_length | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int EC_GROUP_get_curve_name(java.lang.foreign.MemorySegment)> | ssl | EC_GROUP_get_curve_name | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment OCSP_cert_to_id(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | OCSP_cert_to_id | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_CTX_set_client_CA_list(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_set_client_CA_list | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment BIO_s_mem()> | ssl | BIO_s_mem | downcallHandle | tomcat-coyote-ffm.jar
