=== JNA Interface Mapping Hits ===
Format: callerSig | lib | symbol | interface | calleeSig | callerJar | calleeJar
<com.sun.jna.platform.linux.Udev$UdevDevice: java.lang.String getSyspath()> | udev | udev_device_get_syspath | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: java.lang.String udev_device_get_syspath(com.sun.jna.platform.linux.Udev$UdevDevice)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevDevice: com.sun.jna.platform.linux.Udev$UdevDevice ref()> | udev | udev_device_ref | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: com.sun.jna.platform.linux.Udev$UdevDevice udev_device_ref(com.sun.jna.platform.linux.Udev$UdevDevice)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevDevice: java.lang.String getSubsystem()> | udev | udev_device_get_subsystem | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: java.lang.String udev_device_get_subsystem(com.sun.jna.platform.linux.Udev$UdevDevice)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevDevice: java.lang.String getDevtype()> | udev | udev_device_get_devtype | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: java.lang.String udev_device_get_devtype(com.sun.jna.platform.linux.Udev$UdevDevice)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevDevice: void unref()> | udev | udev_device_unref | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: com.sun.jna.platform.linux.Udev$UdevDevice udev_device_unref(com.sun.jna.platform.linux.Udev$UdevDevice)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevDevice: java.lang.String getSysname()> | udev | udev_device_get_syspath | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: java.lang.String udev_device_get_syspath(com.sun.jna.platform.linux.Udev$UdevDevice)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevDevice: java.lang.String getPropertyValue(java.lang.String)> | udev | udev_device_get_property_value | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: java.lang.String udev_device_get_property_value(com.sun.jna.platform.linux.Udev$UdevDevice,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevDevice: java.lang.String getSysattrValue(java.lang.String)> | udev | udev_device_get_sysattr_value | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: java.lang.String udev_device_get_sysattr_value(com.sun.jna.platform.linux.Udev$UdevDevice,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevEnumerate: int addMatchSubsystem(java.lang.String)> | udev | udev_enumerate_add_match_subsystem | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: int udev_enumerate_add_match_subsystem(com.sun.jna.platform.linux.Udev$UdevEnumerate,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevEnumerate: com.sun.jna.platform.linux.Udev$UdevEnumerate ref()> | udev | udev_enumerate_ref | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: com.sun.jna.platform.linux.Udev$UdevEnumerate udev_enumerate_ref(com.sun.jna.platform.linux.Udev$UdevEnumerate)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevEnumerate: int scanDevices()> | udev | udev_enumerate_scan_devices | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: int udev_enumerate_scan_devices(com.sun.jna.platform.linux.Udev$UdevEnumerate)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
