=== Skipped Methods (VerifyError/Exceptions during body building) ===
Format: methodSig | exceptionType | message
<org.apache.tomcat.websocket.WsFrameBase: void <init>(org.apache.tomcat.websocket.WsSession,org.apache.tomcat.websocket.Transformation)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.apache.tomcat.websocket.WsWebSocketContainer: jakarta.websocket.Session connectToServerRecursive(org.apache.tomcat.websocket.ClientEndpointHolder,jakarta.websocket.ClientEndpointConfig,java.net.URI,java.util.Set)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.core.JDTCompilerAdapter: boolean execute()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.ClassFile: int addFieldAttributes(org.eclipse.jdt.internal.compiler.lookup.FieldBinding,int)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.apt.dispatch.BaseMessagerImpl: org.eclipse.jdt.internal.compiler.apt.dispatch.AptProblem createProblem(javax.tools.Diagnostic$Kind,java.lang.CharSequence,javax.lang.model.element.Element,javax.lang.model.element.AnnotationMirror,javax.lang.model.element.AnnotationValue)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.apt.model.ElementsImpl: char[] getUnparsedDocComment(javax.lang.model.element.Element)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.ast.CaseStatement: void resolve(org.eclipse.jdt.internal.compiler.lookup.BlockScope)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.ast.CompilationUnitDeclaration: boolean isLambdaExpressionCopyContext(org.eclipse.jdt.internal.compiler.impl.ReferenceContext)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.ast.ConstructorDeclaration: void doFieldReachAnalysis(org.eclipse.jdt.internal.compiler.flow.FlowInfo,org.eclipse.jdt.internal.compiler.lookup.FieldBinding[])> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.ast.ExplicitConstructorCall: void resolve(org.eclipse.jdt.internal.compiler.lookup.BlockScope)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.ast.LambdaExpression: void generateCode(org.eclipse.jdt.internal.compiler.lookup.BlockScope,org.eclipse.jdt.internal.compiler.codegen.CodeStream,boolean)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.ast.SwitchStatement: void generateCode(org.eclipse.jdt.internal.compiler.lookup.BlockScope,org.eclipse.jdt.internal.compiler.codegen.CodeStream)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.ast.TypeDeclaration: void internalAnalyseCode(org.eclipse.jdt.internal.compiler.flow.FlowContext,org.eclipse.jdt.internal.compiler.flow.FlowInfo)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.batch.ClasspathJar: org.eclipse.jdt.internal.compiler.env.NameEnvironmentAnswer findClass(char[],java.lang.String,java.lang.String,java.lang.String,boolean)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.batch.ClasspathJmod: org.eclipse.jdt.internal.compiler.env.NameEnvironmentAnswer findClass(char[],java.lang.String,java.lang.String,java.lang.String,boolean)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.batch.ClasspathLocation: java.util.Collection selectModules(java.util.Set,java.util.Collection,java.util.function.Function)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.batch.ClasspathMultiReleaseJar: org.eclipse.jdt.internal.compiler.env.NameEnvironmentAnswer findClass(char[],java.lang.String,java.lang.String,java.lang.String,boolean)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.batch.FileSystem: org.eclipse.jdt.internal.compiler.batch.FileSystem$Classpath getClasspath(java.lang.String,java.lang.String,boolean,org.eclipse.jdt.internal.compiler.env.AccessRuleSet,java.lang.String,java.util.Map,java.lang.String)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.batch.Main: org.eclipse.jdt.internal.compiler.env.IModule extractModuleDesc(java.lang.String,java.util.function.Supplier)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.classfmt.AnnotationInfo: java.lang.Object decodeDefaultValue()> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.codegen.CodeStream: void generateSyntheticBodyForDeserializeLambda(org.eclipse.jdt.internal.compiler.lookup.SyntheticMethodBinding,org.eclipse.jdt.internal.compiler.lookup.SyntheticMethodBinding[])> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.lookup.BlockScope: org.eclipse.jdt.internal.compiler.lookup.Binding getBinding(char[][],org.eclipse.jdt.internal.compiler.lookup.InvocationSite)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
<org.eclipse.jdt.internal.compiler.lookup.BlockScope: org.eclipse.jdt.internal.compiler.lookup.Binding getBinding(char[][],int,org.eclipse.jdt.internal.compiler.lookup.InvocationSite,boolean)> | java.lang.IncompatibleClassChangeError | class sootup.core.typehierarchy.ViewTypeHierarchy$SymmetricKey cannot inherit from final class org.apache.commons.lang3.tuple.ImmutablePair
